"HCPCS","Generic Name","Brand Name","Strength","SEER*Rx Category","Major Drug Class","Minor Drug Class","Oral (Y/N)","FDA Approval Year","FDA Discontinuation Year","CMS Effective Date","CMS Discontinuation Date","Status"
"NA","Acalabrutinib","Calquence","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","Bruton's Tyrosine Kinase (Btk) /BCR","Yes","2017","","","","In Use"
"NA","Afatinib","Gliotrif","20 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2013","","","","In Use"
"NA","Afatinib","Gliotrif","30 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2013","","","","In Use"
"NA","Afatinib","Gliotrif","40 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2013","","","","In Use"
"NA","Abemaciclib","Verzenio","50 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Abemaciclib","Verzenio","100 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Abemaciclib","Verzenio","150 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Abemaciclib","Verzenio","200 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Alectinib","Alecensa","150 mg","Chemotherapy","Tyrosine Kinase Inhibitor","ALK","Yes","2015","","","","In Use"
"NA","Altretamine","Hexalen","50 mg","Chemotherapy","Alkylating Agent","Triazines","No","1990","","","","In Use"
"J9017","Arsenic Trioxide","Trisenox","1 mg","Chemotherapy","Miscellaneous Agent","PML/RARa","No","2000","","01/01/2002 00:00:00","","In Use"
"C9012","Arsenic Trioxide","Trisenox","unspecified","Chemotherapy","Miscellaneous Agent","PML/RARa","No","2000","","01/01/2001 00:00:00","12/31/2001 00:00:00","No Longer Used"
"J9020","Asparaginase","Erwinaze","10, 000 units (I.U.)","Chemotherapy","Miscellaneous Agent","Enzyme","No","1994","","01/01/1984 00:00:00","","In Use"
"C9289","Asparaginase","Erwinaze","1,000 units (I.U.)","Chemotherapy","Miscellaneous Agent","Enzyme","No","2011","","04/04/2012 00:00:00","12/31/2014 00:00:00","No Longer Used"
"J9019","Asparaginase","Erwinaze","10, 000 units (I.U.)","Chemotherapy","Miscellaneous Agent","Enzyme","No","2011","","01/01/2013 00:00:00","","In Use"
"NA","Axitinib","Axitinib","1 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"NA","Axitinib","Axitinib","5 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"J9025","Azacitidine","Vidaza","1 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","2004","","01/01/2006 00:00:00","","In Use"
"J9032","Belinostat","Beleodaq","10 mg","Chemotherapy","Enzyme Inhibitor","HDAC","No","2014","","01/01/2016 00:00:00","","In Use"
